lac|cell|lat|lng|fixlat|fixlng|address
20507|51471|31.4788091014083|120.576433151858|31.476707|120.580668|江苏省苏州市相城区环湖路
20507|51682|31.495673|120.571164|31.4935936067|120.575422648927|中国江苏省苏州市相城区凤北荡路
20507|51683|31.501851|120.543586|31.4998228347223|120.547911683122|中国江苏省苏州市相城区凤北荡路
20507|53421|31.5162269617394|120.595430162201|31.514099|120.599624|江苏省苏州市相城区觉林路
20512|481|31.548983|120.429932|31.5471760683183|120.434561122718|中国江苏省无锡市滨湖区新华路87号-89号 邮政编码: 214112
20512|482|31.545764|120.432911|31.543951190278|120.437531861478|中国江苏省无锡市滨湖区锡甘路泰伯花苑
20512|483|31.546253|120.428181|31.5444492449116|120.432814700112|中国江苏省无锡市滨湖区锡甘路恒泰雅居（东南门） 邮政编码: 214111
20512|488|31.5483642487358|120.433713667575|31.546541|120.438319|江苏省无锡市滨湖区锡义路
20512|489|31.5486284815117|120.428586886924|31.546815|120.433206|江苏省无锡市滨湖区新华路88号-1
20512|601|31.5552597184138|120.427872539787|31.553448|120.432494|江苏省无锡市滨湖区锡贤路158号
20512|602|31.5484736516126|120.429722946735|31.546658|120.434339|江苏省无锡市滨湖区新华路87号
20512|603|31.5480736565668|120.42498124214|31.546267|120.42961|江苏省无锡市滨湖区锡甘路221号
20512|791|31.534757|120.441191|31.5329274813512|120.445788528551|中国江苏省无锡市滨湖区梅育路77号-81号
20512|792|31.531085|120.43637|31.5292645211229|120.440980425123|中国江苏省无锡市滨湖区锡梅路59号 邮政编码: 214028
20512|793|31.536192|120.431905|31.5343804994115|120.436527975412|中国江苏省无锡市滨湖区新友南路9号 邮政编码: 214028
20512|797|31.534132|120.44311|31.532298722861|120.447702234861|中国江苏省无锡市滨湖区梅育路83号-85号
20512|798|31.529742|120.436929|31.5279203386846|120.441537795485|中国江苏省无锡市滨湖区锡梅路70号-80号
20512|799|31.535644|120.431354|31.5338333911888|120.435977396504|中国江苏省无锡市滨湖区新友南路9号 邮政编码: 214028
20512|801|31.544521|120.417557|31.5427374493104|120.42221940371|中国江苏省无锡市滨湖区新洲路 邮政编码: 214028
20512|802|31.536512|120.427274|31.5347094436566|120.431909624457|中国江苏省无锡市滨湖区梅育路68号-76号
